Threads: 2 | Size: 1000000 | Payload: 1 | Time: 0.0582
Threads: 4 | Size: 1000000 | Payload: 1 | Time: 0.0410
Threads: 8 | Size: 1000000 | Payload: 1 | Time: 0.0300
Threads: 16 | Size: 1000000 | Payload: 1 | Time: 0.0265
Threads: 32 | Size: 1000000 | Payload: 1 | Time: 0.0534
Threads: 2 | Size: 1000000 | Payload: 24 | Time: 0.0580
Threads: 4 | Size: 1000000 | Payload: 24 | Time: 0.0409
Threads: 8 | Size: 1000000 | Payload: 24 | Time: 0.0302
Threads: 16 | Size: 1000000 | Payload: 24 | Time: 0.0268
Threads: 32 | Size: 1000000 | Payload: 24 | Time: 0.0530
Threads: 2 | Size: 1000000 | Payload: 256 | Time: 0.0603
Threads: 4 | Size: 1000000 | Payload: 256 | Time: 0.0433
Threads: 8 | Size: 1000000 | Payload: 256 | Time: 0.0321
Threads: 16 | Size: 1000000 | Payload: 256 | Time: 0.0296
Threads: 32 | Size: 1000000 | Payload: 256 | Time: 0.0661
Threads: 2 | Size: 10000000 | Payload: 1 | Time: 0.6633
Threads: 4 | Size: 10000000 | Payload: 1 | Time: 0.4135
Threads: 8 | Size: 10000000 | Payload: 1 | Time: 0.3248
Threads: 16 | Size: 10000000 | Payload: 1 | Time: 0.3169
Threads: 32 | Size: 10000000 | Payload: 1 | Time: 0.4522
Threads: 2 | Size: 10000000 | Payload: 24 | Time: 0.6671
Threads: 4 | Size: 10000000 | Payload: 24 | Time: 0.4254
Threads: 8 | Size: 10000000 | Payload: 24 | Time: 0.3358
Threads: 16 | Size: 10000000 | Payload: 24 | Time: 0.3347
Threads: 32 | Size: 10000000 | Payload: 24 | Time: 0.3997
Threads: 2 | Size: 10000000 | Payload: 256 | Time: 0.6736
Threads: 4 | Size: 10000000 | Payload: 256 | Time: 0.4272
Threads: 8 | Size: 10000000 | Payload: 256 | Time: 0.3331
Threads: 16 | Size: 10000000 | Payload: 256 | Time: 0.3312
Threads: 32 | Size: 10000000 | Payload: 256 | Time: 0.4059
Threads: 2 | Size: 100000000 | Payload: 1 | Time: 7.4737
Threads: 4 | Size: 100000000 | Payload: 1 | Time: 4.5570
Threads: 8 | Size: 100000000 | Payload: 1 | Time: 3.4772
Threads: 16 | Size: 100000000 | Payload: 1 | Time: 3.4646
Threads: 32 | Size: 100000000 | Payload: 1 | Time: 4.7518
Threads: 2 | Size: 100000000 | Payload: 24 | Time: 7.2954
Threads: 4 | Size: 100000000 | Payload: 24 | Time: 4.5798
Threads: 8 | Size: 100000000 | Payload: 24 | Time: 3.5087
Threads: 16 | Size: 100000000 | Payload: 24 | Time: 3.5566
Threads: 32 | Size: 100000000 | Payload: 24 | Time: 4.5943
Threads: 2 | Size: 100000000 | Payload: 256 | Time: 7.2240
Threads: 4 | Size: 100000000 | Payload: 256 | Time: 4.6273
Threads: 8 | Size: 100000000 | Payload: 256 | Time: 3.5554
Threads: 16 | Size: 100000000 | Payload: 256 | Time: 3.4712
Threads: 32 | Size: 100000000 | Payload: 256 | Time: 4.6460
