Nodes: 2 | Threads: 2 | Size: 1000000 | Payload: 1 | Time: 0.2411
Nodes: 4 | Threads: 2 | Size: 1000000 | Payload: 1 | Time: 0.2547
Nodes: 8 | Threads: 2 | Size: 1000000 | Payload: 1 | Time: 0.2828
Nodes: 2 | Threads: 4 | Size: 1000000 | Payload: 1 | Time: 0.2322
Nodes: 4 | Threads: 4 | Size: 1000000 | Payload: 1 | Time: 0.2509
Nodes: 8 | Threads: 4 | Size: 1000000 | Payload: 1 | Time: 0.2897
Nodes: 2 | Threads: 8 | Size: 1000000 | Payload: 1 | Time: 0.2286
Nodes: 4 | Threads: 8 | Size: 1000000 | Payload: 1 | Time: 0.2498
Nodes: 8 | Threads: 8 | Size: 1000000 | Payload: 1 | Time: 0.2917
Nodes: 2 | Threads: 16 | Size: 1000000 | Payload: 1 | Time: 0.2308
Nodes: 4 | Threads: 16 | Size: 1000000 | Payload: 1 | Time: 0.2487
Nodes: 8 | Threads: 16 | Size: 1000000 | Payload: 1 | Time: 0.2814
Nodes: 2 | Threads: 32 | Size: 1000000 | Payload: 1 | Time: 0.2514
Nodes: 4 | Threads: 32 | Size: 1000000 | Payload: 1 | Time: 0.2718
Nodes: 8 | Threads: 32 | Size: 1000000 | Payload: 1 | Time: 0.3125
Nodes: 2 | Threads: 2 | Size: 1000000 | Payload: 24 | Time: 0.5889
Nodes: 4 | Threads: 2 | Size: 1000000 | Payload: 24 | Time: 0.6224
Nodes: 8 | Threads: 2 | Size: 1000000 | Payload: 24 | Time: 0.6712
Nodes: 2 | Threads: 4 | Size: 1000000 | Payload: 24 | Time: 0.6133
Nodes: 4 | Threads: 4 | Size: 1000000 | Payload: 24 | Time: 0.5982
Nodes: 8 | Threads: 4 | Size: 1000000 | Payload: 24 | Time: 0.6386
Nodes: 2 | Threads: 8 | Size: 1000000 | Payload: 24 | Time: 0.5983
Nodes: 4 | Threads: 8 | Size: 1000000 | Payload: 24 | Time: 0.5963
Nodes: 8 | Threads: 8 | Size: 1000000 | Payload: 24 | Time: 0.6392
Nodes: 2 | Threads: 16 | Size: 1000000 | Payload: 24 | Time: 0.5796
Nodes: 4 | Threads: 16 | Size: 1000000 | Payload: 24 | Time: 0.6121
Nodes: 8 | Threads: 16 | Size: 1000000 | Payload: 24 | Time: 0.6411
Nodes: 2 | Threads: 32 | Size: 1000000 | Payload: 24 | Time: 0.6109
Nodes: 4 | Threads: 32 | Size: 1000000 | Payload: 24 | Time: 0.6172
Nodes: 8 | Threads: 32 | Size: 1000000 | Payload: 24 | Time: 0.6640
