Threads: 2 | Size: 1000000 | Payload: 1 | Time: 0.0577
Threads: 4 | Size: 1000000 | Payload: 1 | Time: 0.0382
Threads: 8 | Size: 1000000 | Payload: 1 | Time: 0.0291
Threads: 16 | Size: 1000000 | Payload: 1 | Time: 0.0311
Threads: 32 | Size: 1000000 | Payload: 1 | Time: 0.0554
Threads: 2 | Size: 1000000 | Payload: 24 | Time: 0.0577
Threads: 4 | Size: 1000000 | Payload: 24 | Time: 0.0387
Threads: 8 | Size: 1000000 | Payload: 24 | Time: 0.0291
Threads: 16 | Size: 1000000 | Payload: 24 | Time: 0.0310
Threads: 32 | Size: 1000000 | Payload: 24 | Time: 0.0565
Threads: 2 | Size: 1000000 | Payload: 256 | Time: 0.0602
Threads: 4 | Size: 1000000 | Payload: 256 | Time: 0.0408
Threads: 8 | Size: 1000000 | Payload: 256 | Time: 0.0316
Threads: 16 | Size: 1000000 | Payload: 256 | Time: 0.0329
Threads: 32 | Size: 1000000 | Payload: 256 | Time: 0.0599
Threads: 2 | Size: 10000000 | Payload: 1 | Time: 0.6490
Threads: 4 | Size: 10000000 | Payload: 1 | Time: 0.4344
Threads: 8 | Size: 10000000 | Payload: 1 | Time: 0.3375
Threads: 16 | Size: 10000000 | Payload: 1 | Time: 0.4111
Threads: 32 | Size: 10000000 | Payload: 1 | Time: 0.6117
Threads: 2 | Size: 10000000 | Payload: 24 | Time: 0.6617
Threads: 4 | Size: 10000000 | Payload: 24 | Time: 0.4393
Threads: 8 | Size: 10000000 | Payload: 24 | Time: 0.3603
Threads: 16 | Size: 10000000 | Payload: 24 | Time: 0.3826
Threads: 32 | Size: 10000000 | Payload: 24 | Time: 0.5542
Threads: 2 | Size: 10000000 | Payload: 256 | Time: 0.6599
Threads: 4 | Size: 10000000 | Payload: 256 | Time: 0.4436
Threads: 8 | Size: 10000000 | Payload: 256 | Time: 0.3553
Threads: 16 | Size: 10000000 | Payload: 256 | Time: 0.3916
Threads: 32 | Size: 10000000 | Payload: 256 | Time: 0.5788
Threads: 2 | Size: 100000000 | Payload: 1 | Time: 7.4841
Threads: 4 | Size: 100000000 | Payload: 1 | Time: 4.7386
Threads: 8 | Size: 100000000 | Payload: 1 | Time: 4.0000
Threads: 16 | Size: 100000000 | Payload: 1 | Time: 4.5806
Threads: 32 | Size: 100000000 | Payload: 1 | Time: 6.9361
Threads: 2 | Size: 100000000 | Payload: 24 | Time: 7.5173
Threads: 4 | Size: 100000000 | Payload: 24 | Time: 4.8036
Threads: 8 | Size: 100000000 | Payload: 24 | Time: 4.0589
Threads: 16 | Size: 100000000 | Payload: 24 | Time: 4.5503
Threads: 32 | Size: 100000000 | Payload: 24 | Time: 6.5738
Threads: 2 | Size: 100000000 | Payload: 256 | Time: 0.0000
Threads: 4 | Size: 100000000 | Payload: 256 | Time: 4.7351
Threads: 8 | Size: 100000000 | Payload: 256 | Time: 4.0213
Threads: 16 | Size: 100000000 | Payload: 256 | Time: 4.5698
Threads: 32 | Size: 100000000 | Payload: 256 | Time: 6.9896
